epoch,train_loss,val_acc,val_f1
1,0.5801,0.7959,0.6863
2,0.3374,0.8469,0.8199
3,0.2994,0.8571,0.8257
4,0.2524,0.8673,0.8494
5,0.2611,0.9082,0.8911
6,0.2016,0.8878,0.8682
7,0.2117,0.8980,0.8571
8,0.2243,0.9286,0.8999
9,0.1794,0.9082,0.8876
10,0.1755,0.9184,0.8742
11,0.1598,0.9286,0.9021
12,0.1282,0.9388,0.9259
13,0.1160,0.9286,0.9021
14,0.1165,0.9184,0.8909
15,0.0835,0.9490,0.9353
16,0.1062,0.9490,0.9353
17,0.0964,0.9388,0.9240
18,0.1140,0.9286,0.9147
19,0.0907,0.9286,0.8999
20,0.0864,0.9388,0.9091
21,0.0669,0.9490,0.9204
22,0.0775,0.9286,0.9021
23,0.0642,0.9388,0.9111
24,0.0705,0.9490,0.9204
25,0.0537,0.9388,0.9091
26,0.0582,0.9286,0.9021
27,0.0480,0.9388,0.9091
28,0.0290,0.9388,0.9091
29,0.0568,0.9388,0.9091
30,0.0476,0.9286,0.8999
31,0.0329,0.9388,0.9091
32,0.0309,0.9490,0.9204
33,0.0275,0.9388,0.9091
34,0.0229,0.9388,0.9091
35,0.0375,0.9388,0.9091
36,0.0210,0.9388,0.9091
37,0.0216,0.9388,0.9091
38,0.0216,0.9388,0.9091
39,0.0203,0.9388,0.9091
40,0.0244,0.9388,0.9091
41,0.0241,0.9388,0.9091
42,0.0192,0.9388,0.9091
43,0.0164,0.9388,0.9091
44,0.0187,0.9388,0.9091
45,0.0124,0.9388,0.9091
46,0.0175,0.9388,0.9091
47,0.0143,0.9388,0.9091
48,0.0201,0.9388,0.9091
49,0.0188,0.9388,0.9091
50,0.0198,0.9388,0.9091
